Магазин,Хліб,Календар,Кількість,Сума
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-01,19.0,988
РОСВИГОВО,БІЛИЙ,2025-01-01,10.0,300
РОСВИГОВО,СІРИЙ,2025-01-01,24.0,768
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-01,18.0,810
РОСВИГОВО,ТОСТОВИЙ,2025-01-01,18.0,990
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-01,15.0,720
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,18.0,1080
РОСВИГОВО,КЕРПІЧИК,2025-01-01,6.0,168
РОСВИГОВО,З ТРАВАМИ,2025-01-01,12.0,624
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-01,12.0,360
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-01,13.0,416
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-01,23.0,1035
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-01,15.0,825
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-01,21.0,1008
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,11.0,660
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-01,13.0,364
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-01,18.0,936
ПРОГРЕС,БІЛИЙ,2025-01-01,16.0,480
ПРОГРЕС,СІРИЙ,2025-01-01,17.0,544
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-01,22.0,990
ПРОГРЕС,ТОСТОВИЙ,2025-01-01,20.0,1100
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-01,10.0,480
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,7.0,420
ПРОГРЕС,КЕРПІЧИК,2025-01-01,7.0,196
ПРОГРЕС,З ТРАВАМИ,2025-01-01,12.0,624
ФРАНКА,БІЛИЙ,2025-01-01,19.0,570
ФРАНКА,СІРИЙ,2025-01-01,20.0,640
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-01,17.0,765
ФРАНКА,ТОСТОВИЙ,2025-01-01,17.0,935
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-01,10.0,480
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,5.0,300
ФРАНКА,КЕРПІЧИК,2025-01-01,14.0,392
ФРАНКА,З ТРАВАМИ,2025-01-01,19.0,988
ЦЕНТРАЛ,БІЛИЙ,2025-01-01,14.0,420
ЦЕНТРАЛ,СІРИЙ,2025-01-01,19.0,608
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-01,19.0,855
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-01,18.0,990
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-01,17.0,816
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,10.0,600
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-01,7.0,196
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-01,24.0,1248
ДРУЖБА,БІЛИЙ,2025-01-01,16.0,480
ДРУЖБА,СІРИЙ,2025-01-01,23.0,736
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-01,15.0,675
ДРУЖБА,ТОСТОВИЙ,2025-01-01,11.0,605
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-01,20.0,960
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,8.0,480
ДРУЖБА,КЕРПІЧИК,2025-01-01,23.0,644
ДРУЖБА,З ТРАВАМИ,2025-01-01,18.0,936
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-02,15.0,450
АВТОСТАНЦІЯ,СІРИЙ,2025-01-02,11.0,352
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-02,12.0,540
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-02,21.0,1155
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-02,5.0,240
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,24.0,1440
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-02,24.0,672
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-02,24.0,1248
ГРІНВІЧ,БІЛИЙ,2025-01-02,17.0,510
ГРІНВІЧ,СІРИЙ,2025-01-02,24.0,768
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-02,14.0,630
ГРІНВІЧ,ТОСТОВИЙ,2025-01-02,9.0,495
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-02,10.0,480
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,11.0,660
ГРІНВІЧ,КЕРПІЧИК,2025-01-02,14.0,392
ГРІНВІЧ,З ТРАВАМИ,2025-01-02,11.0,572
ПАЛАНОК,БІЛИЙ,2025-01-02,15.0,450
ПАЛАНОК,СІРИЙ,2025-01-02,9.0,288
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-02,14.0,630
ПАЛАНОК,ТОСТОВИЙ,2025-01-02,6.0,330
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-02,19.0,912
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,23.0,1380
ПАЛАНОК,КЕРПІЧИК,2025-01-02,8.0,224
ПАЛАНОК,З ТРАВАМИ,2025-01-02,10.0,520
ЧЕРЕМШИНА,БІЛИЙ,2025-01-02,8.0,240
ЧЕРЕМШИНА,СІРИЙ,2025-01-02,22.0,704
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-02,13.0,585
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-02,16.0,880
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-02,21.0,1008
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,7.0,420
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-02,7.0,196
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-02,10.0,520
ПІДГОРЯНО,БІЛИЙ,2025-01-02,19.0,570
ПІДГОРЯНО,СІРИЙ,2025-01-02,21.0,672
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-02,7.0,315
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-02,10.0,550
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-02,16.0,768
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,20.0,1200
ПІДГОРЯНО,КЕРПІЧИК,2025-01-02,21.0,588
ПІДГОРЯНО,З ТРАВАМИ,2025-01-02,15.0,780
ЄВРАЗІЯ,БІЛИЙ,2025-01-02,23.0,690
ЄВРАЗІЯ,СІРИЙ,2025-01-02,7.0,224
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-02,18.0,810
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-02,21.0,1155
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-02,16.0,768
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,15.0,900
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-02,16.0,448
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-02,6.0,312
РОСВИГОВО,БІЛИЙ,2025-01-02,7.0,210
РОСВИГОВО,СІРИЙ,2025-01-02,15.0,480
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-02,9.0,405
РОСВИГОВО,ТОСТОВИЙ,2025-01-02,7.0,385
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-02,24.0,1152
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,15.0,900
РОСВИГОВО,КЕРПІЧИК,2025-01-02,12.0,336
РОСВИГОВО,З ТРАВАМИ,2025-01-02,5.0,260
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-02,10.0,300
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-02,14.0,448
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-02,16.0,720
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-02,7.0,385
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-02,14.0,672
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,6.0,360
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-02,6.0,168
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-02,21.0,1092
ПРОГРЕС,БІЛИЙ,2025-01-02,19.0,570
ПРОГРЕС,СІРИЙ,2025-01-02,9.0,288
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-02,12.0,540
ПРОГРЕС,ТОСТОВИЙ,2025-01-02,16.0,880
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-02,14.0,672
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,14.0,840
ПРОГРЕС,КЕРПІЧИК,2025-01-02,12.0,336
ПРОГРЕС,З ТРАВАМИ,2025-01-02,6.0,312
ФРАНКА,БІЛИЙ,2025-01-02,19.0,570
ФРАНКА,СІРИЙ,2025-01-02,9.0,288
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-02,5.0,225
ФРАНКА,ТОСТОВИЙ,2025-01-02,5.0,275
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-02,21.0,1008
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,14.0,840
ФРАНКА,КЕРПІЧИК,2025-01-02,16.0,448
ФРАНКА,З ТРАВАМИ,2025-01-02,9.0,468
ЦЕНТРАЛ,БІЛИЙ,2025-01-02,18.0,540
ЦЕНТРАЛ,СІРИЙ,2025-01-02,10.0,320
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-02,12.0,540
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-02,18.0,990
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-02,6.0,288
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,8.0,480
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-02,8.0,224
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-02,14.0,728
ДРУЖБА,БІЛИЙ,2025-01-02,14.0,420
ДРУЖБА,СІРИЙ,2025-01-02,19.0,608
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-02,21.0,945
ДРУЖБА,ТОСТОВИЙ,2025-01-02,15.0,825
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-02,18.0,864
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,20.0,1200
ДРУЖБА,КЕРПІЧИК,2025-01-02,14.0,392
ДРУЖБА,З ТРАВАМИ,2025-01-02,24.0,1248
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-03,22.0,660
АВТОСТАНЦІЯ,СІРИЙ,2025-01-03,18.0,576
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-03,14.0,630
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-03,20.0,1100
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-03,18.0,864
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,18.0,1080
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-03,10.0,280
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-03,15.0,780
ГРІНВІЧ,БІЛИЙ,2025-01-03,14.0,420
ГРІНВІЧ,СІРИЙ,2025-01-03,22.0,704
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-03,21.0,945
ГРІНВІЧ,ТОСТОВИЙ,2025-01-03,23.0,1265
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-03,5.0,240
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,13.0,780
ГРІНВІЧ,КЕРПІЧИК,2025-01-03,7.0,196
ГРІНВІЧ,З ТРАВАМИ,2025-01-03,12.0,624
ПАЛАНОК,БІЛИЙ,2025-01-03,10.0,300
ПАЛАНОК,СІРИЙ,2025-01-03,22.0,704
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-03,8.0,360
ПАЛАНОК,ТОСТОВИЙ,2025-01-03,7.0,385
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-03,6.0,288
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,11.0,660
ПАЛАНОК,КЕРПІЧИК,2025-01-03,7.0,196
ПАЛАНОК,З ТРАВАМИ,2025-01-03,21.0,1092
ЧЕРЕМШИНА,БІЛИЙ,2025-01-03,20.0,600
ЧЕРЕМШИНА,СІРИЙ,2025-01-03,10.0,320
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-03,9.0,405
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-03,5.0,275
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-03,19.0,912
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,23.0,1380
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-03,11.0,308
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-03,9.0,468
ПІДГОРЯНО,БІЛИЙ,2025-01-03,11.0,330
ПІДГОРЯНО,СІРИЙ,2025-01-03,21.0,672
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-03,13.0,585
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-03,21.0,1155
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-03,24.0,1152
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,18.0,1080
ПІДГОРЯНО,КЕРПІЧИК,2025-01-03,15.0,420
ПІДГОРЯНО,З ТРАВАМИ,2025-01-03,22.0,1144
ЄВРАЗІЯ,БІЛИЙ,2025-01-03,10.0,300
ЄВРАЗІЯ,СІРИЙ,2025-01-03,12.0,384
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-03,15.0,675
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-03,5.0,275
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-03,6.0,288
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,22.0,1320
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-03,22.0,616
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-03,9.0,468
РОСВИГОВО,БІЛИЙ,2025-01-03,15.0,450
РОСВИГОВО,СІРИЙ,2025-01-03,5.0,160
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-03,6.0,270
РОСВИГОВО,ТОСТОВИЙ,2025-01-03,5.0,275
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-03,20.0,960
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,15.0,900
РОСВИГОВО,КЕРПІЧИК,2025-01-03,13.0,364
РОСВИГОВО,З ТРАВАМИ,2025-01-03,12.0,624
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-03,7.0,210
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-03,21.0,672
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-03,9.0,405
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-03,19.0,1045
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-03,24.0,1152
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,14.0,840
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-03,21.0,588
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-03,15.0,780
ПРОГРЕС,БІЛИЙ,2025-01-03,16.0,480
ПРОГРЕС,СІРИЙ,2025-01-03,20.0,640
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-03,7.0,315
ПРОГРЕС,ТОСТОВИЙ,2025-01-03,10.0,550
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-03,9.0,432
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,22.0,1320
ПРОГРЕС,КЕРПІЧИК,2025-01-03,19.0,532
ПРОГРЕС,З ТРАВАМИ,2025-01-03,10.0,520
ФРАНКА,БІЛИЙ,2025-01-03,10.0,300
ФРАНКА,СІРИЙ,2025-01-03,17.0,544
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-03,22.0,990
ФРАНКА,ТОСТОВИЙ,2025-01-03,5.0,275
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-03,23.0,1104
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,16.0,960
ФРАНКА,КЕРПІЧИК,2025-01-03,19.0,532
ФРАНКА,З ТРАВАМИ,2025-01-03,17.0,884
ЦЕНТРАЛ,БІЛИЙ,2025-01-03,19.0,570
ЦЕНТРАЛ,СІРИЙ,2025-01-03,22.0,704
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-03,19.0,855
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-03,19.0,1045
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-03,16.0,768
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,13.0,780
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-03,22.0,616
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-03,16.0,832
ДРУЖБА,БІЛИЙ,2025-01-03,11.0,330
ДРУЖБА,СІРИЙ,2025-01-03,10.0,320
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-03,20.0,900
ДРУЖБА,ТОСТОВИЙ,2025-01-03,6.0,330
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-03,8.0,384
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,14.0,840
ДРУЖБА,КЕРПІЧИК,2025-01-03,6.0,168
ДРУЖБА,З ТРАВАМИ,2025-01-03,8.0,416
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-04,33.0,990
АВТОСТАНЦІЯ,СІРИЙ,2025-01-04,21.0,672
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-04,,0
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-04,15.0,825
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-04,17.0,816
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,19.0,1140
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-04,20.0,560
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-04,19.0,988
ГРІНВІЧ,БІЛИЙ,2025-01-04,21.0,630
ГРІНВІЧ,СІРИЙ,2025-01-04,25.0,800
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-04,25.0,1125
ГРІНВІЧ,ТОСТОВИЙ,2025-01-04,15.0,825
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-04,13.0,624
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,28.0,1680
ГРІНВІЧ,КЕРПІЧИК,2025-01-04,19.0,532
ГРІНВІЧ,З ТРАВАМИ,2025-01-04,31.0,1612
ПАЛАНОК,БІЛИЙ,2025-01-04,21.0,630
ПАЛАНОК,СІРИЙ,2025-01-04,14.0,448
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-04,28.0,1260
ПАЛАНОК,ТОСТОВИЙ,2025-01-04,22.0,1210
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-04,14.0,672
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,27.0,1620
ПАЛАНОК,КЕРПІЧИК,2025-01-04,23.0,644
ПАЛАНОК,З ТРАВАМИ,2025-01-04,28.0,1456
ЧЕРЕМШИНА,БІЛИЙ,2025-01-04,16.0,480
ЧЕРЕМШИНА,СІРИЙ,2025-01-04,17.0,544
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-04,28.0,1260
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-04,30.0,1650
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-04,27.0,1296
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,28.0,1680
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-04,10.0,280
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-04,19.0,988
ПІДГОРЯНО,БІЛИЙ,2025-01-04,25.0,750
ПІДГОРЯНО,СІРИЙ,2025-01-04,15.0,480
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-04,30.0,1350
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-04,21.0,1155
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-04,27.0,1296
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,13.0,780
ПІДГОРЯНО,КЕРПІЧИК,2025-01-04,21.0,588
ПІДГОРЯНО,З ТРАВАМИ,2025-01-04,17.0,884
ЄВРАЗІЯ,БІЛИЙ,2025-01-04,21.0,630
ЄВРАЗІЯ,СІРИЙ,2025-01-04,20.0,640
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-04,32.0,1440
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-04,7.0,385
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-04,18.0,864
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,24.0,1440
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-04,12.0,336
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-04,26.0,1352
РОСВИГОВО,БІЛИЙ,2025-01-04,8.0,240
РОСВИГОВО,СІРИЙ,2025-01-04,18.0,576
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-04,25.0,1125
РОСВИГОВО,ТОСТОВИЙ,2025-01-04,17.0,935
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-04,25.0,1200
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,14.0,840
РОСВИГОВО,КЕРПІЧИК,2025-01-04,14.0,392
РОСВИГОВО,З ТРАВАМИ,2025-01-04,31.0,1612
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-04,14.0,420
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-04,12.0,384
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-04,31.0,1395
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-04,16.0,880
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-04,22.0,1056
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,16.0,960
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-04,26.0,728
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-04,27.0,1404
ПРОГРЕС,БІЛИЙ,2025-01-04,16.0,480
ПРОГРЕС,СІРИЙ,2025-01-04,22.0,704
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-04,13.0,585
ПРОГРЕС,ТОСТОВИЙ,2025-01-04,7.0,385
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-04,10.0,480
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,24.0,1440
ПРОГРЕС,КЕРПІЧИК,2025-01-04,24.0,672
ПРОГРЕС,З ТРАВАМИ,2025-01-04,15.0,780
ФРАНКА,БІЛИЙ,2025-01-04,25.0,750
