Магазин,Хліб,Календар,Кількість списання
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,5
ПІДГОРЯНО,КЕРПІЧИК,2025-01-01,0
ПІДГОРЯНО,З ТРАВАМИ,2025-01-01,5
ЄВРАЗІЯ,БІЛИЙ,2025-01-01,2
ЄВРАЗІЯ,СІРИЙ,2025-01-01,0
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-01,0
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-01,0
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-01,1
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,0
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-01,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-01,3
РОСВИГОВО,БІЛИЙ,2025-01-01,1
РОСВИГОВО,СІРИЙ,2025-01-01,3
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-01,0
РОСВИГОВО,ТОСТОВИЙ,2025-01-01,1
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-01,0
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,2
РОСВИГОВО,КЕРПІЧИК,2025-01-01,3
РОСВИГОВО,З ТРАВАМИ,2025-01-01,1
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-01,0
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-01,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-01,2
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-01,0
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-01,2
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,6
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-01,3
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-01,6
ПРОГРЕС,БІЛИЙ,2025-01-01,2
ПРОГРЕС,СІРИЙ,2025-01-01,1
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-01,0
ПРОГРЕС,ТОСТОВИЙ,2025-01-01,3
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-01,0
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,3
ПРОГРЕС,КЕРПІЧИК,2025-01-01,1
ПРОГРЕС,З ТРАВАМИ,2025-01-01,3
ФРАНКА,БІЛИЙ,2025-01-01,3
ФРАНКА,СІРИЙ,2025-01-01,2
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-01,0
ФРАНКА,ТОСТОВИЙ,2025-01-01,0
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-01,2
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,2
ФРАНКА,КЕРПІЧИК,2025-01-01,1
ФРАНКА,З ТРАВАМИ,2025-01-01,0
ЦЕНТРАЛ,БІЛИЙ,2025-01-01,1
ЦЕНТРАЛ,СІРИЙ,2025-01-01,2
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-01,0
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-01,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-01,0
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,0
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-01,0
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-01,2
ДРУЖБА,БІЛИЙ,2025-01-01,2
ДРУЖБА,СІРИЙ,2025-01-01,1
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-01,1
ДРУЖБА,ТОСТОВИЙ,2025-01-01,0
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-01,3
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-01,0
ДРУЖБА,КЕРПІЧИК,2025-01-01,1
ДРУЖБА,З ТРАВАМИ,2025-01-01,3
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-02,1
АВТОСТАНЦІЯ,СІРИЙ,2025-01-02,2
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-02,0
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-02,1
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-02,1
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,0
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-02,2
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-02,1
ГРІНВІЧ,БІЛИЙ,2025-01-02,0
ГРІНВІЧ,СІРИЙ,2025-01-02,2
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-02,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-02,2
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-02,1
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,3
ГРІНВІЧ,КЕРПІЧИК,2025-01-02,1
ГРІНВІЧ,З ТРАВАМИ,2025-01-02,2
ПАЛАНОК,БІЛИЙ,2025-01-02,1
ПАЛАНОК,СІРИЙ,2025-01-02,3
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-02,2
ПАЛАНОК,ТОСТОВИЙ,2025-01-02,0
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-02,1
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,2
ПАЛАНОК,КЕРПІЧИК,2025-01-02,3
ПАЛАНОК,З ТРАВАМИ,2025-01-02,0
ЧЕРЕМШИНА,БІЛИЙ,2025-01-02,2
ЧЕРЕМШИНА,СІРИЙ,2025-01-02,1
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-02,0
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-02,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-02,0
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,2
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-02,2
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-02,4
ПІДГОРЯНО,БІЛИЙ,2025-01-02,0
ПІДГОРЯНО,СІРИЙ,2025-01-02,2
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-02,0
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-02,1
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-02,0
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,0
ПІДГОРЯНО,КЕРПІЧИК,2025-01-02,1
ПІДГОРЯНО,З ТРАВАМИ,2025-01-02,5
ЄВРАЗІЯ,БІЛИЙ,2025-01-02,1
ЄВРАЗІЯ,СІРИЙ,2025-01-02,2
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-02,0
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-02,0
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-02,0
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,0
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-02,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-02,0
РОСВИГОВО,БІЛИЙ,2025-01-02,2
РОСВИГОВО,СІРИЙ,2025-01-02,0
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-02,3
РОСВИГОВО,ТОСТОВИЙ,2025-01-02,1
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-02,0
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,3
РОСВИГОВО,КЕРПІЧИК,2025-01-02,2
РОСВИГОВО,З ТРАВАМИ,2025-01-02,2
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-02,0
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-02,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-02,1
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-02,3
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-02,3
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,1
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-02,3
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-02,0
ПРОГРЕС,БІЛИЙ,2025-01-02,0
ПРОГРЕС,СІРИЙ,2025-01-02,2
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-02,2
ПРОГРЕС,ТОСТОВИЙ,2025-01-02,0
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-02,0
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,0
ПРОГРЕС,КЕРПІЧИК,2025-01-02,2
ПРОГРЕС,З ТРАВАМИ,2025-01-02,1
ФРАНКА,БІЛИЙ,2025-01-02,1
ФРАНКА,СІРИЙ,2025-01-02,1
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-02,0
ФРАНКА,ТОСТОВИЙ,2025-01-02,1
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-02,0
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,1
ФРАНКА,КЕРПІЧИК,2025-01-02,1
ФРАНКА,З ТРАВАМИ,2025-01-02,0
ЦЕНТРАЛ,БІЛИЙ,2025-01-02,3
ЦЕНТРАЛ,СІРИЙ,2025-01-02,1
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-02,0
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-02,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-02,2
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,3
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-02,2
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-02,2
ДРУЖБА,БІЛИЙ,2025-01-02,0
ДРУЖБА,СІРИЙ,2025-01-02,0
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-02,0
ДРУЖБА,ТОСТОВИЙ,2025-01-02,2
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-02,0
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-02,1
ДРУЖБА,КЕРПІЧИК,2025-01-02,0
ДРУЖБА,З ТРАВАМИ,2025-01-02,0
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-03,0
АВТОСТАНЦІЯ,СІРИЙ,2025-01-03,0
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-03,3
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-03,0
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-03,1
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,1
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-03,1
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-03,2
ГРІНВІЧ,БІЛИЙ,2025-01-03,2
ГРІНВІЧ,СІРИЙ,2025-01-03,0
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-03,1
ГРІНВІЧ,ТОСТОВИЙ,2025-01-03,1
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-03,1
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,6
ГРІНВІЧ,КЕРПІЧИК,2025-01-03,1
ГРІНВІЧ,З ТРАВАМИ,2025-01-03,2
ПАЛАНОК,БІЛИЙ,2025-01-03,2
ПАЛАНОК,СІРИЙ,2025-01-03,0
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-03,2
ПАЛАНОК,ТОСТОВИЙ,2025-01-03,1
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-03,0
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,2
ПАЛАНОК,КЕРПІЧИК,2025-01-03,0
ПАЛАНОК,З ТРАВАМИ,2025-01-03,1
ЧЕРЕМШИНА,БІЛИЙ,2025-01-03,0
ЧЕРЕМШИНА,СІРИЙ,2025-01-03,2
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-03,2
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-03,2
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-03,2
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,1
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-03,1
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-03,1
ПІДГОРЯНО,БІЛИЙ,2025-01-03,0
ПІДГОРЯНО,СІРИЙ,2025-01-03,1
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-03,0
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-03,2
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-03,0
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,3
ПІДГОРЯНО,КЕРПІЧИК,2025-01-03,2
ПІДГОРЯНО,З ТРАВАМИ,2025-01-03,1
ЄВРАЗІЯ,БІЛИЙ,2025-01-03,2
ЄВРАЗІЯ,СІРИЙ,2025-01-03,0
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-03,1
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-03,1
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-03,0
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,6
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-03,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-03,5
РОСВИГОВО,БІЛИЙ,2025-01-03,3
РОСВИГОВО,СІРИЙ,2025-01-03,2
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-03,2
РОСВИГОВО,ТОСТОВИЙ,2025-01-03,1
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-03,0
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,5
РОСВИГОВО,КЕРПІЧИК,2025-01-03,0
РОСВИГОВО,З ТРАВАМИ,2025-01-03,3
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-03,1
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-03,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-03,2
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-03,1
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-03,1
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,5
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-03,0
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-03,4
ПРОГРЕС,БІЛИЙ,2025-01-03,0
ПРОГРЕС,СІРИЙ,2025-01-03,0
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-03,2
ПРОГРЕС,ТОСТОВИЙ,2025-01-03,1
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-03,3
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,5
ПРОГРЕС,КЕРПІЧИК,2025-01-03,3
ПРОГРЕС,З ТРАВАМИ,2025-01-03,1
ФРАНКА,БІЛИЙ,2025-01-03,0
ФРАНКА,СІРИЙ,2025-01-03,1
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-03,0
ФРАНКА,ТОСТОВИЙ,2025-01-03,1
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-03,0
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,4
ФРАНКА,КЕРПІЧИК,2025-01-03,2
ФРАНКА,З ТРАВАМИ,2025-01-03,3
ЦЕНТРАЛ,БІЛИЙ,2025-01-03,0
ЦЕНТРАЛ,СІРИЙ,2025-01-03,2
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-03,0
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-03,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-03,3
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,3
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-03,1
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-03,4
ДРУЖБА,БІЛИЙ,2025-01-03,0
ДРУЖБА,СІРИЙ,2025-01-03,0
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-03,1
ДРУЖБА,ТОСТОВИЙ,2025-01-03,3
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-03,1
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-03,2
ДРУЖБА,КЕРПІЧИК,2025-01-03,3
ДРУЖБА,З ТРАВАМИ,2025-01-03,3
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-04,0
АВТОСТАНЦІЯ,СІРИЙ,2025-01-04,3
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-04,3
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-04,1
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-04,0
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,3
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-04,0
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-04,5
ГРІНВІЧ,БІЛИЙ,2025-01-04,1
ГРІНВІЧ,СІРИЙ,2025-01-04,3
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-04,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-04,0
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-04,2
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,4
ГРІНВІЧ,КЕРПІЧИК,2025-01-04,1
ГРІНВІЧ,З ТРАВАМИ,2025-01-04,1
ПАЛАНОК,БІЛИЙ,2025-01-04,0
ПАЛАНОК,СІРИЙ,2025-01-04,1
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-04,3
ПАЛАНОК,ТОСТОВИЙ,2025-01-04,2
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-04,2
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,3
ПАЛАНОК,КЕРПІЧИК,2025-01-04,1
ПАЛАНОК,З ТРАВАМИ,2025-01-04,2
ЧЕРЕМШИНА,БІЛИЙ,2025-01-04,2
ЧЕРЕМШИНА,СІРИЙ,2025-01-04,2
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-04,0
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-04,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-04,0
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,3
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-04,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-04,0
ПІДГОРЯНО,БІЛИЙ,2025-01-04,2
ПІДГОРЯНО,СІРИЙ,2025-01-04,1
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-04,1
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-04,1
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-04,2
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,1
ПІДГОРЯНО,КЕРПІЧИК,2025-01-04,2
ПІДГОРЯНО,З ТРАВАМИ,2025-01-04,1
ЄВРАЗІЯ,БІЛИЙ,2025-01-04,0
ЄВРАЗІЯ,СІРИЙ,2025-01-04,1
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-04,2
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-04,0
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-04,1
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,0
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-04,0
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-04,4
РОСВИГОВО,БІЛИЙ,2025-01-04,2
РОСВИГОВО,СІРИЙ,2025-01-04,1
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-04,0
РОСВИГОВО,ТОСТОВИЙ,2025-01-04,0
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-04,0
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,4
РОСВИГОВО,КЕРПІЧИК,2025-01-04,2
РОСВИГОВО,З ТРАВАМИ,2025-01-04,6
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-04,2
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-04,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-04,3
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-04,0
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-04,1
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,0
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-04,0
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-04,2
ПРОГРЕС,БІЛИЙ,2025-01-04,1
ПРОГРЕС,СІРИЙ,2025-01-04,0
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-04,1
ПРОГРЕС,ТОСТОВИЙ,2025-01-04,3
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-04,2
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,0
ПРОГРЕС,КЕРПІЧИК,2025-01-04,3
ПРОГРЕС,З ТРАВАМИ,2025-01-04,5
ФРАНКА,БІЛИЙ,2025-01-04,1
ФРАНКА,СІРИЙ,2025-01-04,3
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-04,0
ФРАНКА,ТОСТОВИЙ,2025-01-04,0
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-04,2
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,2
ФРАНКА,КЕРПІЧИК,2025-01-04,0
ФРАНКА,З ТРАВАМИ,2025-01-04,3
ЦЕНТРАЛ,БІЛИЙ,2025-01-04,1
ЦЕНТРАЛ,СІРИЙ,2025-01-04,0
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-04,1
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-04,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-04,0
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,2
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-04,3
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-04,0
ДРУЖБА,БІЛИЙ,2025-01-04,2
ДРУЖБА,СІРИЙ,2025-01-04,0
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-04,0
ДРУЖБА,ТОСТОВИЙ,2025-01-04,0
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-04,0
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-04,2
ДРУЖБА,КЕРПІЧИК,2025-01-04,0
ДРУЖБА,З ТРАВАМИ,2025-01-04,3
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-05,0
АВТОСТАНЦІЯ,СІРИЙ,2025-01-05,2
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-05,0
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-05,0
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-05,0
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-05,3
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-05,2
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-05,3
ГРІНВІЧ,БІЛИЙ,2025-01-05,1
ГРІНВІЧ,СІРИЙ,2025-01-05,0
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-05,2
ГРІНВІЧ,ТОСТОВИЙ,2025-01-05,0
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-05,0
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-05,5
ГРІНВІЧ,КЕРПІЧИК,2025-01-05,3
ГРІНВІЧ,З ТРАВАМИ,2025-01-05,4
ПАЛАНОК,БІЛИЙ,2025-01-05,0
ПАЛАНОК,СІРИЙ,2025-01-05,1
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-05,0
ПАЛАНОК,ТОСТОВИЙ,2025-01-05,3
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-05,0
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-05,4
